station,date,range,method
KFR,6/18/2024,0.1,lab
SR64,7/2/2024,0.81,lab
KFR,7/9/2024,1.35,lab
FHR,7/9/2024,1.6,lab
SR64,7/9/2024,4.7,lab
MC,7/9/2024,2.1,lab
PBR,7/10/2024,6.4,lab
PFP,7/10/2024,3,lab
SR64,7/10/2024,0.5,lab
SR64,7/17/2024,0.3,lab
FHR,7/17/2024,0.2,lab
FHB,7/17/2024,3.5,lab
KFR,6/18/2024,0.92,field
SR64,7/2/2024,1.64,field
KFR,7/9/2024,1.68,field
FHR,7/9/2024,1.17,field
SR64,7/9/2024,1.27,field
MC,7/9/2024,6.22,field
PBR,7/10/2024,2.05,field
PFP,7/10/2024,2.47,field
SR64,7/10/2024,2.85,field
SR64,7/17/2024,2.21,field
FHR,7/17/2024,2.66,field
FHB,7/17/2024,3.16,field
